SampleID	Group	Unassigned	Arthrobacter	Unassigned	Mucilaginibacter	Unassigned	Thermomarinilinea	Unassigned	Smithella	Paludibacter	Unassigned	Unassigned	Aquisphaera	Gemmata	Actinomycetospora	Unassigned	Unassigned	Unassigned	Unassigned	Zavarzinella	Propionispira	Methyloversatilis	Rhodococcus	Alkalibacter	Luedemannella	Clostridium_III	Desulfomonile	Pelolinea	Aggregicoccus	Unassigned	Unassigned	Noviherbaspirillum	Nitrosospira	Unassigned	Unassigned	Marmoricola	Unassigned	Stenotrophomonas	Herbidospora	Unassigned	Aeromonas	Unassigned	Hoeflea	Unassigned	Unassigned	Enhygromyxa	Thiocapsa	Lysinibacillus	Dongia	Unassigned	Unassigned	Lysobacter	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Marisediminicola	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Povalibacter	Lewinella	Pseudolabrys	Unassigned	Cellulomonas	Methylobacter	Unassigned	Desulfosporosinus	Unassigned	Unassigned	Unassigned	Unassigned	Jatrophihabitans	Blastopirellula	Sphingomonas	Skermanella	Unassigned	Unassigned	Nakamurella	Pseudoxanthomonas	Microvirga	Unassigned	Nocardioides	Unassigned	Pedobacter	Unassigned	Unassigned	Unassigned	Unassigned	Methanobacterium	Unassigned	Unassigned	Unassigned	Variovorax	Aquipuribacter	Ammoniphilus	Unassigned	Caulobacter	Unassigned	Solirubrobacter	Nitrospira	Unassigned	Unassigned	Unassigned	Gemmatimonas	Rhodomicrobium	Virgisporangium	Vasilyevaea	Cryobacterium	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Pedomicrobium	Unassigned	Chondromyces	Rhizobium	Unassigned	Sulfurovum	Unassigned	Unassigned	Leptolinea	Unassigned	Unassigned	Unassigned	Unassigned	Nocardia	Unassigned	Unassigned	Methanothrix	Unassigned	Unassigned	Unassigned	Ferruginibacter	Unassigned	Unassigned	Desertibacter	Rhizocola	Defluviicoccus	Unassigned	Unassigned	Unassigned	Thiobacillus	Bosea	Unassigned	Unassigned	Dokdonella	Unassigned	Unassigned	Unassigned	Thermomonas	Ornatilinea	Aquihabitans	Propionicimonas	Rhizomicrobium_electricum	Gemmobacter	Cryptosporangium	Phenylobacterium	Roseomonas	Unassigned	Labilithrix	Unassigned	Unassigned	Unassigned	Prosthecobacter	Unassigned	Unassigned	Blastococcus	Asanoa	Unassigned	Ohtaekwangia_koreensis	Unassigned	Janthinobacterium	Arenimonas	Aureimonas	Unassigned	Lactobacillus	Rubrobacter	Kineosporia	Unassigned	Ramlibacter	Anaerolinea	Ornithinibacter	Unassigned	Unassigned	Unassigned	Unassigned	Dyadobacter	Syntrophobacter	Dactylosporangium	Pirellula	Unassigned	Unassigned	Parasegetibacter	Unassigned	Clostridium_XlVa	Unassigned	Sphingorhabdus	Bauldia	Unassigned	Pseudonocardia	Streptosporangium	Unassigned	Unassigned	Unassigned	Rhodoferax	Unassigned	Unassigned	Citricoccus	Unassigned	Unassigned	Ilumatobacter	Unassigned	Modestobacter	Unassigned	Unassigned	Proteiniclasticum	Unassigned	Unassigned	Unassigned	Unassigned	Chiayiivirga	Adhaeribacter	Micromonospora	Unassigned	Steroidobacter	Unassigned	Actinoplanes	Unassigned	Unassigned	Reyranella_soli	Unassigned	Anaerovorax	Unassigned	Acetobacterium	Sediminibacterium	Oryzihumus	Agromyces	Unassigned	Unassigned	Alsobacter	Unassigned	Catellatospora	Clostridium_XI	Unassigned	Reyranella_graminifolii	Variibacter	Unassigned	Unassigned	Labrys	Unassigned	Unassigned	Unassigned	Mycobacterium	Alterococcus	Planococcus	Pseudofulvimonas	Methylocystis	Unassigned	Methylobacterium	Luteolibacter	Unassigned	Acidovorax	Unassigned	Microbacterium	Unassigned	Actinoallomurus	Devosia	Cystobacter	Microlunatus	Unassigned	Unassigned	Unassigned	Desulfocapsa	Unassigned	Romboutsia	Mizugakiibacter	Unassigned	Unassigned	Unassigned	Bacillus	Polaromonas	Lysinimonas	Clostridium_sensu_stricto	Unassigned	Cohnella	Psychrosinus	Sphingopyxis	Conexibacter	Unassigned	Unassigned	Unassigned	Unassigned	Flavitalea	Haliangium	Unassigned	Unassigned	Belnapia	Unassigned	Unassigned	Unassigned	Methylocapsa	Sideroxydans	Kribbella	Angustibacter	Flavisolibacter	Methylomonas	Unassigned	Anaeromyxobacter	Brevundimonas	Unassigned	Unassigned	Algoriphagus	Bradyrhizobium	Unassigned	Pseudomonas	Unassigned	Actinosynnema	Unassigned	Unassigned	Kocuria	Unassigned	Nesterenkonia	Aeromicrobium	Flavobacterium	Rhodopirellula	Unassigned	Pelotomaculum	Syntrophorhabdus_aromaticivorans	Unassigned	Rhodanobacter	Unassigned	Unassigned	Unassigned	Geothrix	Unassigned	Streptomyces	Unassigned	Unassigned	Paenibacillus	Iamia	Planctomicrobium	Geobacter	Tahibacter	Unassigned	Minicystis	Pediococcus	Massilia	Turicibacter	Dyella	Unassigned	Sphaerisporangium	Unassigned	Unassigned	Terrimonas	Unassigned	Unassigned	Unassigned	Phyllobacterium	Unassigned	Sporosarcina	Sanguibacter	Mariniflexile	Unassigned	Unassigned	Phycicoccus	Unassigned	Unassigned	Azohydromonas	Gimesia	Thermogutta	Allocatelliglobosispora	Unassigned	Unassigned	Unassigned	Unassigned	Chryseolinea_serpens	Unassigned	Janibacter	Gaiella	Unassigned	Unassigned	Litorilinea	Euzebya	Hydrogenophaga	Fluviicola	Unassigned	Desulfuromonas	Unassigned	Spirochaeta	Unassigned	Unassigned	Unassigned	Unassigned	Chryseobacterium	Singulisphaera	Actinomadura	Mesorhizobium	Neochlamydia	Unassigned	Unassigned	Methanoregula	Desulfobacca	Rhizorhabdus	Unassigned	Roseiarcus	Hyphomicrobium	Asticcacaulis	Parafilimonas	Unassigned	Opitutus	Unassigned	Unassigned	Unassigned	Chthonomonas/Armatimonadetes_gp3	Aquaspirillum	Armatimonas/Armatimonadetes_gp1	Mumia	Unassigned	Unassigned	Unassigned	Unassigned	Kineococcus	Byssovorax	Sulfuriferula
NMCV1L	NL	112	302	0	1	0	0	34	0	0	0	0	5	0	0	13	1	13	272	2	0	0	2	1	0	0	0	0	1	91	30	0	2	5	82	27	2	0	0	0	0	0	0	0	0	0	0	8	1	0	0	7	926	41	176	577	11	3	2	2	1665	29	26	1	0	41	7	0	17	0	198	90	0	39	8	44	0	13	84	103	55	0	1	1	8	0	106	140	2	0	41	7	83	0	8	2	108	0	0	0	886	2	1	97	140	0	13	9	68	0	3	2	35	164	15	8	1	20	19	5	6	10	1	0	7	94	0	12	34	0	0	0	13	19	0	10	11	1182	12	79	0	0	1	0	1	19	0	263	1	5	357	0	369	0	1	0	1	5	3	0	1	0	9	0	208	2	0	11	612	0	8	4	4	2	0	26	79	2	29	0	0	0	11	27	0	4	11	0	59	0	0	0	0	0	2	8	498	16	2	20	2	9	3	2	61	120	1	44	3	2	46	11	28	4	25	0	217	92	6	264	30	0	6	0	8	7	0	3	5	8	6	1	35	0	61	6	117	0	0	0	0	28	0	0	0	0	0	1	1	30	0	0	35	0	0	138	2	7	32	8	0	0	0	6	0	12	116	3	104	2	15	0	15	0	2	0	9	238	21	9	0	0	1	290	2	16	1	0	9	6	1	0	0	3	1	1	1	37	7	8	1	24	0	0	1	4	0	0	0	0	0	0	0	0	1	1	16	0	13	1	5	0	0	14	0	8	1	0	13	0	0	0	0	0	1	0	0	193	0	0	0	19	0	1	0	3	7	30	0	0	8	0	6	0	0	827	0	0	21	102	4	0	0	0	0	14	0	1	0	25	0	113	41	1	1	4	0	0	0	22	0	105	0	0	239	0	27	37	4	4	0	3	12	2	0	674	26	0	3	0	0	0	24	0	0	2	0	0	0	0	0	64	1	0	0	6	44	0	2	0	0	2	0	6	44	1	3	2	0	1
NMCV3L	NL	46	572	3	0	0	0	38	0	0	0	1	5	1	0	1	0	55	520	1	0	0	0	1	0	1	3	3	0	167	46	0	0	5	907	50	3	0	0	2	1	0	0	0	0	2	0	30	0	0	0	3	765	41	97	980	0	3	0	13	1725	51	5	32	3	4	58	2	55	0	356	60	0	70	14	318	0	54	57	200	41	0	2	0	10	1	131	199	15	0	25	4	115	0	2	2	53	0	0	0	1219	5	10	177	34	106	23	4	40	17	2	5	14	250	3	24	51	16	30	8	1	8	3	0	8	178	0	23	7	0	0	0	5	12	0	6	23	1668	10	425	0	0	0	3	0	5	0	301	0	9	319	0	181	0	6	0	46	12	37	0	1	0	12	4	206	0	0	1	643	0	94	6	5	1	0	7	99	4	8	1	0	16	4	11	0	1	87	0	46	0	0	0	0	4	1	16	917	13	3	6	8	1	1	3	84	69	4	108	48	8	122	3	22	35	14	0	240	35	10	310	0	0	111	0	3	17	0	7	13	4	0	1	23	0	75	5	146	0	0	6	0	35	0	7	0	0	0	1	3	16	4	0	19	0	0	116	1	7	48	15	0	0	0	3	1	8	235	13	174	10	2	0	22	26	4	0	1	314	204	10	3	0	0	719	11	15	0	0	18	2	0	1	0	8	1	5	1	53	3	0	2	14	0	0	7	119	0	14	0	0	0	0	0	36	7	5	3	4	53	1	0	0	0	17	0	44	3	0	21	1	0	0	0	0	2	0	0	168	0	0	0	5	0	0	12	1	3	298	0	0	0	1	11	0	0	1275	2	2	19	38	43	0	5	0	5	47	0	0	0	49	1	90	54	1	2	17	0	0	0	12	15	27	0	0	205	0	129	34	1	7	10	3	17	1	6	175	14	9	7	0	0	0	24	0	0	0	0	0	0	0	0	201	2	0	0	17	724	0	26	0	0	0	0	1	65	0	8	0	3	0
NMCV5L	NL	60	154	0	0	0	0	33	0	0	0	1	12	1	0	0	1	41	371	1	0	0	0	0	0	3	1	4	0	97	63	0	0	5	1282	29	2	0	0	2	2	3	0	0	0	3	0	5	0	0	0	2	1193	24	17	893	5	3	4	37	1750	35	14	31	0	7	15	0	19	0	593	39	0	51	9	95	0	25	57	139	107	0	1	1	15	1	140	187	6	0	23	4	212	0	7	6	62	0	3	1	2542	6	2	143	28	12	5	6	31	6	4	8	11	366	2	34	40	36	20	4	5	10	0	0	1	43	0	18	42	0	0	0	5	18	0	5	7	1952	7	335	0	0	0	6	2	5	0	382	2	5	396	0	206	0	2	0	7	15	21	0	0	0	10	5	216	4	0	5	86	0	20	1	6	1	0	2	193	1	20	5	0	85	2	5	0	5	241	0	63	0	0	0	0	2	4	17	424	12	1	6	4	5	1	2	48	58	1	194	19	9	90	8	15	1	17	0	278	39	21	234	0	0	36	0	2	10	0	0	10	3	3	0	52	2	40	8	109	0	0	0	0	13	0	13	0	0	0	0	2	17	2	0	19	0	0	168	3	5	32	12	0	0	0	4	0	15	218	7	219	3	3	0	22	0	2	0	3	339	38	16	1	0	0	526	5	3	0	0	23	5	1	0	0	2	11	1	0	66	1	4	1	15	0	0	5	66	0	1	0	0	0	0	0	14	13	1	8	0	28	0	5	2	0	15	0	5	5	2	1	2	0	0	0	0	2	0	0	26	0	1	0	6	1	0	13	4	0	79	0	4	2	1	18	1	0	821	2	1	30	30	11	1	3	0	6	27	0	0	0	63	2	65	49	2	0	8	1	0	2	7	5	28	0	0	203	0	34	24	1	1	0	0	10	16	9	348	18	0	8	0	0	0	4	1	1	0	0	0	2	1	0	135	1	0	0	3	406	0	21	0	0	0	0	6	47	0	0	0	0	0
NMCV7H	NH	11	163	6	0	1	0	49	3	1	0	8	0	0	0	2	1	22	61	0	0	0	0	0	0	0	7	10	1	19	35	0	2	3	1148	5	2	0	0	0	0	3	1	1	0	0	0	5	0	0	0	2	184	13	12	1184	0	2	92	13	1785	144	14	179	0	0	29	0	1	0	36	25	0	192	6	17	0	6	18	38	28	0	0	2	9	7	55	98	29	0	68	1	374	0	4	25	34	0	4	0	390	5	0	75	43	1	3	6	89	7	4	3	24	362	0	12	109	8	50	0	0	7	0	7	7	35	3	16	4	0	0	2	3	6	0	1	13	2955	19	67	0	0	0	9	0	4	0	3565	0	1	513	0	191	0	2	2	13	5	7	0	1	0	4	3	289	2	3	0	120	0	44	0	0	0	0	1	16	35	13	3	0	0	1	0	0	0	44	2	16	1	3	0	1	1	0	0	49	3	1	7	5	1	1	1	41	30	0	21	81	16	217	2	5	0	3	1	402	19	8	440	0	9	39	0	0	9	0	7	4	2	0	0	4	1	32	6	178	50	0	1	0	1	0	2	0	0	0	0	0	3	2	0	4	0	0	182	0	3	23	24	0	0	0	0	0	1	81	17	107	3	1	0	9	0	0	0	2	492	33	2	1	0	0	470	307	0	270	0	67	1	1	0	0	5	0	4	0	8	1	2	0	14	0	0	7	104	0	0	0	0	2	0	0	3	24	0	0	2	38	0	0	0	0	34	0	3	13	0	19	121	2	0	1	0	0	0	0	18	0	0	0	17	1	1	4	0	0	12	0	4	0	0	40	0	0	1571	0	0	12	82	3	0	1	0	33	18	0	0	0	104	0	75	17	0	0	3	1	0	6	12	0	21	0	0	293	0	37	32	0	0	0	0	4	1	6	54	29	14	6	0	0	0	5	0	1	1	0	1	0	0	0	503	1	0	0	9	1247	0	84	0	0	0	0	0	57	0	1	0	0	19
NMCV7L	NL	22	949	249	0	6	0	77	11	0	0	7	1	0	0	4	2	56	180	2	0	0	0	0	0	2	16	11	0	144	63	0	10	5	273	24	4	0	0	0	0	0	11	10	34	2	23	1	0	0	0	54	381	23	6	204	11	113	160	71	539	0	5	132	0	0	6	0	3	33	66	12	0	9	24	43	0	4	166	14	11	0	0	100	8	11	1392	236	229	24	560	0	81	0	28	60	48	1	18	1	351	24	0	1	4	2	8	4	116	0	0	0	542	135	0	2	48	1	2	0	0	3	0	127	0	64	75	13	5	0	0	0	0	134	6	14	0	988	168	662	12	0	0	4	0	1	2	2387	5	0	348	0	33	0	6	43	173	40	6	0	37	0	38	93	9	20	7	4	3	2	5	0	12	0	0	12	39	40	88	42	0	5	0	0	0	0	125	165	60	59	39	15	0	2	0	2	345	0	64	0	2	3	28	3	9	2	0	73	127	1	64	0	58	2	30	3	714	48	3	332	0	44	47	1	2	0	22	50	6	0	0	0	3	0	469	0	38	0	1	6	0	0	0	209	0	34	0	0	2	15	0	0	3	0	0	28	0	1	20	2	3	36	0	1	0	32	155	185	25	6	0	0	75	0	0	0	2	391	19	22	7	0	0	490	28	0	81	0	334	0	0	0	0	0	7	0	0	98	4	19	3	12	0	4	3	502	0	1	0	0	3	0	0	2	182	0	4	243	4	0	1	6	0	15	0	19	1	0	22	523	39	14	9	2	6	0	0	10	0	0	8	21	2	0	0	2	0	22	0	1	0	0	43	1	0	428	0	2	152	26	1	0	1	0	11	10	28	12	0	12	1	1	31	0	0	2	0	0	4	4	16	0	0	0	9	0	192	28	0	201	0	0	13	1	0	1	1	1	8	0	0	0	5	0	0	0	0	2	1	0	0	102	0	0	0	9	1014	26	50	0	1	0	0	0	8	0	0	0	0	0
NMCVI1H	NH	2562	230	0	0	0	0	29	1	0	1	0	1	26	5	13	3	62	971	40	1	4	2	3	1	4	0	0	4	95	32	0	0	2	299	186	2	0	0	0	2	0	0	0	7	1	0	41	13	1	0	41	5244	23	76	2749	130	35	0	46	6189	123	146	8	95	29	12	1	72	94	1550	5	56	188	86	3	10	63	378	58	181	0	53	11	21	12	606	439	19	1	51	43	1157	72	38	8	235	25	12	9	2314	18	0	765	223	7	45	139	94	48	19	9	10	487	19	136	3	24	550	34	22	110	12	0	30	66	0	48	146	0	0	1	30	43	0	4	111	3033	192	42	0	0	0	154	2	182	9	0	12	100	617	23	1779	0	42	0	9	47	58	2	1	25	68	28	1025	26	11	60	109	5	8	71	2	31	14	7	119	1	66	7	27	0	1	38	1	3	82	4	497	0	0	150	11	0	36	43	515	25	17	60	47	7	10	5	48	425	4	63	3	6	35	0	193	2	105	1	695	638	1	1624	0	0	23	14	2	2	0	0	130	67	4	3	147	10	164	61	1107	1	2	2	15	20	0	5	0	0	0	4	9	57	15	34	512	12	7	411	38	12	503	32	1	4	46	37	7	23	33	21	828	5	24	0	59	0	8	166	26	604	2	123	68	4	12	1388	0	13	37	2	146	14	6	12	23	136	0	11	2	225	6	30	0	31	0	0	0	7	50	5	0	0	1	0	0	16	82	0	120	0	136	5	87	48	0	29	2	4	110	0	51	32	1	0	0	3	17	0	3	114	0	6	0	122	13	3	25	5	1	91	0	63	57	0	28	3	0	4758	5	1	108	355	10	0	2	17	0	40	1	0	14	61	1	22	228	1	1	72	7	0	4	13	22	259	6	0	411	5	186	29	0	10	0	0	6	0	0	1766	59	1	18	1	3	8	92	6	0	29	0	0	0	2	0	606	2	2	5	38	170	9	1	5	1	2	7	144	112	1	0	123	16	0
NMCVI1L	NL	177	58	0	0	4	0	11	5	0	0	3	7	3	0	15	0	21	96	1	0	1	0	0	0	0	14	1	1	59	5	0	0	5	632	8	0	0	0	0	1	0	0	0	0	0	0	1	4	0	0	1	540	3	2	852	5	0	0	49	1520	6	37	23	1	2	32	0	2	121	210	0	0	63	5	1	1	2	18	4	22	0	1	1	6	29	36	203	2	1	2	0	176	6	4	0	59	0	1	0	1530	9	4	225	23	2	2	29	11	9	0	2	2	169	3	68	22	0	12	9	0	1	3	0	14	26	0	8	13	21	0	0	0	2	75	0	3	1209	19	54	0	0	0	9	3	69	4	2	0	11	450	0	73	0	2	1	4	19	9	0	0	0	7	7	274	7	1	9	2	1	1	1	0	0	0	0	15	0	6	0	3	0	4	7	1	0	120	0	45	0	0	6	1	9	0	8	221	3	0	8	4	0	2	1	30	4	0	23	8	14	26	0	6	0	5	4	133	25	0	191	0	0	162	0	0	0	0	0	0	33	0	1	5	0	34	5	188	0	0	10	0	8	0	9	286	0	0	1	1	12	1	0	0	5	0	198	3	1	42	4	0	0	3	0	0	1	26	0	96	0	2	0	2	0	0	0	1	313	1	6	0	0	0	435	1	0	43	0	26	1	0	2	0	34	2	2	0	36	1	2	0	5	0	0	0	14	0	0	0	0	0	0	0	4	5	0	7	0	7	0	4	0	0	1	1	0	29	0	4	2	0	0	0	6	10	0	0	3	0	1	0	1	0	1	1	0	0	34	0	89	0	0	36	0	0	1247	0	1	44	69	0	0	0	1	5	0	0	0	0	6	0	11	174	0	0	4	0	0	5	3	2	1	1	0	221	0	2	6	0	0	0	0	2	0	0	476	88	0	11	0	0	0	2	0	0	6	1	0	0	0	0	101	0	0	0	2	439	2	71	0	1	0	0	0	23	0	0	0	1	0
NMCVI4H	NH	115	13	0	65	0	0	16	0	0	0	0	4	0	1	15	0	213	52	1	0	0	1	0	0	1	0	0	3	5	42	0	0	2	17	39	10	0	1	2	0	0	2	0	0	0	0	13	103	1	0	15	402	2	44	970	11	1	0	0	867	2	4	0	36	1	196	4	1	1	22	12	0	63	45	0	9	5	170	1	12	0	5	6	28	0	798	4	57	0	11	21	36	0	4	2	164	114	0	3	180	48	0	693	43	0	3	5	242	1	13	7	4	76	93	5	0	3	19	10	3	86	0	0	29	8	0	10	23	0	112	0	49	1	0	0	174	465	45	1	0	0	0	0	0	174	0	0	8	4	109	77	204	0	3	0	0	48	0	2	0	0	94	13	506	4	0	5	64	1	0	1	5	124	0	2	18	0	38	0	8	1	4	12	96	0	0	0	59	0	0	0	3	1	11	3	13	14	18	12	2	3	1	2	9	888	494	2	0	0	3	0	18	0	220	0	90	427	13	249	0	0	1	51	1	0	1	2	34	22	10	0	48	15	194	76	126	1	0	0	4	1	0	14	0	0	0	14	45	9	0	6	175	0	26	39	2	1	256	2	0	0	0	50	4	2	37	0	113	8	2	82	200	0	7	0	1	170	0	36	312	0	1	230	0	15	16	80	78	1	3	0	0	154	0	7	0	8	70	7	0	0	1	1	0	0	11	0	33	1	21	0	0	0	87	1	11	0	897	2	62	6	2	11	0	2	84	0	29	36	0	0	0	0	7	39	0	73	0	0	0	213	17	1	69	14	0	3	5	3	3	0	20	10	0	1507	19	1	4	97	0	0	1	140	0	22	0	0	0	5	7	7	7	3	0	3	0	1	1	1	0	10	1	1	246	2	65	7	0	0	0	0	0	0	0	190	30	0	0	4	40	2	246	0	0	7	0	0	1	13	0	109	0	5	0	8	19	9	0	0	2	0	0	4	24	0	0	5	0	0
NMCVI4L	NL	524	114	0	0	0	0	11	0	0	0	0	10	5	0	5	0	54	378	22	0	0	0	0	0	0	0	0	1	24	16	0	0	0	344	6	1	0	0	0	0	0	0	0	0	0	0	13	3	0	0	9	2132	15	58	1511	45	2	0	3	2975	34	47	1	5	4	8	1	5	9	429	8	0	75	12	1	1	26	52	5	14	0	2	0	1	0	80	194	0	0	15	11	123	1	19	1	104	4	1	2	1285	5	1	403	148	3	56	45	29	0	15	3	5	231	4	21	1	15	84	10	8	6	14	0	26	37	0	15	38	0	0	0	2	5	0	2	13	1319	16	16	0	0	0	8	1	162	0	0	4	20	958	2	379	0	8	1	1	30	0	0	0	5	14	1	486	3	1	22	663	2	0	0	0	2	7	1	100	2	17	0	8	4	1	22	0	0	12	1	113	0	0	3	0	1	10	32	167	9	8	70	3	3	1	1	20	141	24	27	1	0	11	0	74	4	8	0	231	213	1	249	0	0	43	6	1	0	0	0	12	44	1	0	25	2	24	11	236	0	0	0	0	1	2	21	0	0	0	2	8	22	0	3	37	2	0	177	15	8	49	14	0	0	1	2	0	12	37	5	181	2	5	0	12	0	4	0	1	167	6	45	37	2	1	604	1	7	5	0	26	7	0	2	1	39	0	5	0	57	5	5	0	16	0	3	0	2	0	5	1	0	0	1	0	8	0	1	46	0	106	1	10	2	0	10	1	1	48	0	15	6	0	0	0	0	7	0	1	108	1	3	0	37	4	2	8	0	1	85	1	27	18	1	4	2	0	1367	0	0	24	131	5	3	1	0	0	11	0	0	0	10	2	53	81	0	1	24	4	0	26	0	1	61	0	0	673	0	80	18	0	1	0	3	5	0	0	2239	55	0	6	1	1	0	16	2	0	4	0	0	0	4	0	230	0	0	5	12	58	3	1	1	0	3	0	5	15	1	0	12	3	0
NMCVI6H	NH	298	185	1	0	0	0	38	0	0	0	0	1	3	0	6	4	61	207	9	0	0	1	1	0	3	0	0	2	12	38	0	2	2	153	131	9	0	0	4	0	0	0	0	0	2	0	5	9	0	0	13	1039	33	83	2807	42	2	0	2	4333	80	66	1	4	23	2	4	12	7	198	26	1	72	65	0	0	13	163	21	39	0	8	11	22	0	537	173	4	1	78	32	74	0	19	3	189	10	0	5	1005	14	0	1221	439	0	4	19	34	0	16	9	21	603	7	10	0	11	268	21	8	21	6	0	29	64	0	24	35	0	0	0	19	27	0	25	49	1884	55	6	1	0	0	5	0	173	0	0	13	26	518	0	429	0	8	0	0	19	1	0	1	2	34	4	912	0	2	5	88	0	2	16	21	15	8	9	111	3	19	0	0	0	1	22	1	3	0	1	71	0	0	6	0	0	14	16	263	26	17	55	5	0	7	19	52	329	2	46	0	0	4	2	70	0	23	0	320	178	14	554	0	0	0	5	1	0	0	5	15	27	3	8	44	0	60	7	648	0	0	1	0	136	2	51	0	0	0	1	0	37	0	0	69	3	3	297	1	38	128	12	1	0	1	2	4	11	207	3	601	6	3	1	46	0	9	2	10	314	0	9	6	10	1	670	0	4	18	0	173	9	1	3	0	165	0	7	0	64	8	15	0	30	0	2	0	0	4	3	0	0	3	0	0	0	11	7	33	0	66	1	29	7	2	90	0	0	8	0	75	8	0	0	0	0	1	0	0	147	0	0	0	39	5	6	7	3	0	4	0	27	17	0	22	0	0	3158	0	0	10	218	0	1	4	7	0	81	0	0	0	15	2	90	27	5	1	8	7	0	0	2	4	121	0	0	1006	2	138	25	0	0	0	2	0	0	0	826	58	0	3	0	0	0	64	0	0	8	0	0	0	6	0	494	2	1	2	15	50	1	0	0	0	8	0	1	76	0	0	52	1	0
NMCVI6L	NL	781	82	0	2	1	0	26	0	0	0	0	23	16	0	11	2	27	574	17	0	0	0	1	0	2	0	0	2	38	18	0	2	0	311	46	0	0	0	1	0	0	0	0	1	3	0	9	3	0	0	4	3018	13	37	2250	65	1	0	18	3379	57	133	3	6	22	9	2	10	7	631	18	3	100	13	10	0	36	154	74	37	0	32	6	19	0	195	334	0	2	15	26	445	0	15	4	176	2	75	5	2236	8	4	975	188	1	12	61	47	0	30	6	5	438	5	76	3	25	185	7	10	9	3	0	15	49	0	26	59	0	0	0	7	39	0	19	19	2265	51	46	0	0	11	46	6	155	0	0	2	39	523	1	1135	0	14	0	5	29	10	0	1	3	21	19	763	9	3	30	541	2	8	30	7	1	1	7	113	1	16	0	2	0	7	34	0	1	55	3	173	0	0	3	0	0	8	50	597	20	17	37	7	7	1	1	27	535	0	72	2	6	15	0	150	1	16	1	267	171	6	498	0	0	14	0	0	1	0	0	19	31	10	4	53	5	47	32	520	0	0	7	0	15	0	13	0	0	0	1	0	37	0	1	110	2	2	238	13	4	137	18	0	0	0	10	8	13	188	8	566	9	20	0	13	0	4	0	16	742	17	12	24	2	0	873	0	2	5	0	104	8	0	2	4	119	0	2	0	94	1	14	2	31	0	1	0	2	1	6	0	0	0	0	0	9	16	0	71	0	78	4	6	4	1	18	2	0	41	0	4	3	1	0	0	6	16	1	5	109	0	1	0	18	2	7	4	6	5	45	0	74	48	0	8	1	1	2645	0	2	48	208	11	1	1	3	0	6	0	0	2	54	3	40	169	2	3	34	9	0	1	7	7	131	0	1	497	0	55	34	0	2	0	3	0	0	0	1506	60	2	12	0	1	0	29	3	0	9	0	0	0	2	0	260	0	0	4	16	149	2	3	0	1	2	0	2	45	0	0	10	5	0
YZYC2L	YL	712	219	0	0	0	12	8	0	0	0	1	3	4	0	7	0	16	208	22	4	0	3	0	0	0	17	0	2	36	10	0	0	0	251	2	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	4	1334	2	14	544	13	0	0	20	3071	0	93	1	0	0	21	0	22	6	437	25	55	64	16	8	0	5	46	1	5	0	2	4	1	1	31	337	3	1	12	2	35	9	0	2	29	4	0	2	2036	6	22	9	125	9	64	17	5	1	0	2	6	43	0	1	1	23	66	10	1	13	29	0	27	63	0	7	11	0	0	0	2	5	0	0	7	1526	7	69	0	16	0	0	1	43	1	5	0	24	1807	0	56	0	7	0	3	4	4	0	1	0	12	2	90	6	2	16	360	3	0	1	0	1	0	0	98	1	15	0	199	0	0	4	0	1	17	1	62	0	0	0	1	1	0	14	184	5	0	42	8	1	2	0	68	6	0	4	3	1	62	3	26	0	2	0	42	37	0	200	0	0	26	0	1	1	0	0	4	12	0	0	9	0	29	1	158	1	0	0	0	14	0	1	0	0	9	1	0	3	0	0	18	4	0	291	11	11	20	1	0	0	6	1	0	2	7	1	142	0	8	1	9	0	0	0	2	220	21	6	1	0	2	375	0	5	6	0	36	9	0	5	2	14	1	3	0	39	0	2	0	8	0	3	0	2	0	1	0	0	1	0	0	3	5	0	21	0	56	0	7	9	0	1	5	0	18	0	2	41	0	0	0	1	11	0	1	68	22	21	0	2	0	0	3	1	0	124	0	2	0	0	18	0	0	528	0	0	20	41	17	0	0	0	0	1	0	0	0	6	0	14	88	0	1	17	0	0	0	0	10	2	0	0	371	0	12	20	0	1	0	0	8	0	0	3272	179	0	14	0	0	0	20	3	10	0	0	0	0	5	0	300	4	0	25	2	36	0	0	0	0	0	0	1	7	0	0	3	3	0
